date,Revenue,Gross Profit,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Diluted EPS,EBITDA,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company
2014-06-30,207.046,39.669008000000005,19.129,9.952,4.444,6.0794,5.9684,0.11122599989175797,111.964,1211.544992,141.488,-232.968,222.612,TALO
2014-09-30,177.431008,26.668000000000003,6.992,-2.562,-29.415,-2.5388,-2.5388,-0.050147999078035355,87.283,1215.626944,75.44,-228.53,-0.412,TALO
2014-12-31,184.78,35.698,1.231,-8.754,-190.515008,-3.7193,-3.7193,-0.06778600066900253,85.465,1101.603008,68.741,-173.856,-0.063,TALO
2015-03-31,154.998,14.371999999999993,-4.282,-14.382,-327.388,-6.9952,-6.9952,-0.12676799297332764,82.14,762.579968,83.522,7.085,-2.991,TALO
2015-06-30,149.524992,15.969991999999998,2.533,-7.26,-152.906,-5.198,-5.198,-0.0966000035405159,80.484,584.736,62.143,-82.592,-0.078,TALO
2015-09-30,135.096,22.157999999999998,5.27,-5.292,-291.964992,-4.016,-4.016,-0.07264599949121475,67.206,291.52896,53.315,-120.358,-0.058,TALO
2015-12-31,116.099,29.678999999999995,13.903,2.359,-318.656,5.709,5.709,0.1032629981637001,69.282,-39.788928,48.494,-125.425,13.288,TALO
2016-03-31,80.877,-11.533,-42.746,-57.577,-188.784,-43.927,-43.927,-0.7899429798126221,18.812,-224.998912,29.439,-129.31,456.255008,TALO
2016-06-30,89.319,6.419000000000003,-46.571,-63.607,-195.760992,-35.4726,-35.4726,-6.351406097412109,-0.34,-428.856064,-31.569,-49.854,-116.517,TALO
2016-09-30,94.427,-3.0169999999999955,-29.86,-46.47,-89.635,-37.7014,-37.7014,-6.73239278793335,29.058,-519.660928,35.023,-21.643,-0.175,TALO
2016-12-31,113.107,14.995000000000006,-3.716,-18.304,-116.406,-11.49585,-11.49585,-2.0502679347991943,49.656,-637.282048,45.695,-37.365,-0.148,TALO
2017-03-31,101.824,19.754,7.287,-11.431,34.462,4.63155,4.63155,0.23161199688911438,52.406,295.544,23.627,-25.417,-17.856,TALO
2017-06-30,95.426,16.471999999999994,10.384,-10.318,24.607,1.90575,1.90575,0.06099599972367287,51.862,288.946992,61.636,-39.362,5.986,TALO
2017-09-30,99.962,25.649,16.712,3.912,-36.177,-10.11915,-10.11915,-0.3259890079498291,58.757,290.746016,39.169,-29.421,-3.183,TALO
2017-12-31,115.616,63.666,20.569,16.018,-85.76,-19.6043,-19.6043,-0.46137499809265137,68.574,-54.086976,51.621,-63.441,-3.359,TALO
2018-03-31,145.85,59.839,48.584,29.033,-22.943,18.11804,18.11804,0.9059929847717285,102.384,-77.127,39.645,-30.012,-28.524,TALO
2018-06-30,203.906,74.35,57.573,0.999,-74.912,-14.94231,-14.94231,-0.3373819887638092,134.791008,685.845056,67.466,182.044992,-183.948992,TALO
2018-09-30,282.868,117.146,98.956,33.644,13.109,29.33165,29.33165,0.5395100116729736,196.926,699.764032,36.576,-47.973,22.458,TALO
2018-12-31,258.664,118.21,78.552,40.525,306.286016,94.026432,94.026432,1.7362140417099,173.627008,1007.495936,119.758,-66.565,-3.196,TALO
2019-03-31,178.712992,40.08899199999999,20.862,-6.942,-109.636,-0.583,-0.583,-0.010765000246465206,95.819,899.986016,41.122,-135.312,0.005,TALO
2019-06-30,286.809984,130.281984,107.943,74.299,94.764,65.706192,65.706192,1.2063490152359009,214.456992,998.041024,141.499008,-121.836,22.465,TALO
2019-09-30,228.856992,75.78799999999998,54.446,37.25,73.297,36.162432,36.162432,0.6672040224075317,150.708992,1074.823968,149.792,-143.319008,-4.896,TALO
2019-12-31,233.24,68.82700800000002,49.524,24.311,0.304,61.179248,61.179248,1.1213409900665283,155.371008,1078.277024,61.32,-95.489,30.509,TALO
2020-03-31,187.764,23.314,3.603,14.067,157.748992,-41.204968,-41.204968,-0.7075030207633972,110.429,1394.896944,110.232,-376.683008,286.380992,TALO
2020-06-30,88.874,-77.410992,-90.915,-33.064,-140.611008,16.5968,16.5968,0.24892200529575348,12.188,1294.55296,81.38,-74.911,-5.566,TALO
2011-03-31,10085.000192,3045.000192,1154,992,974,521.5,521.5,1.5386439561843872,1712,18116.99968,1135.000064,-734,-41,HES
2011-06-30,9930.999808,3089.9998719999994,1183.000064,1045,569,661.6,661.6,1.9404000043869019,1771.000064,18904,1688.999936,-1420.999936,-42,HES
2011-09-30,8714.999808,2533.9996160000005,654,543,267,520.449984,520.449984,1.5338799953460693,1240,18913.99968,1022,-2320,-69,HES
2011-12-31,9749.000192,3037.0001919999995,820,519,-134,386.849984,386.849984,1.1443699598312378,1494,18592,1138,-2091.000064,477,HES
2012-03-31,2896,2626,906,805,539,471.1,471.1,1.392838954925537,1568,19157.000064,988,-1772,829,HES
2012-06-30,3324,2992,1228.999936,1143.000064,540,604.300032,604.300032,1.7724560499191284,1998,19958.999808,1240,-1992.999936,766,HES
2012-09-30,3072,2713,880,791,510,356.049984,356.049984,1.0489710569381714,1608,20652.000128,1862,-1616.999936,-126,HES
2012-12-31,5718.000128,2878.000128,695,626,256,358.7,358.7,1.0534509420394897,1419.000064,21202.99936,1570,-1668.999936,213,HES
2013-03-31,6105.999872,3051.999744,1135.000064,1028,1143.000064,590.449984,590.449984,1.7184300422668457,1824,22525.000384,819,-261,-756,HES
2013-06-30,3068.999936,2647.999936,1052,924,1600,326.550016,326.550016,0.9459009766578674,1664.999936,23973.000192,1247.000064,936,-1902,HES
2013-09-30,2720,2345,775,684,356,361.649984,361.649984,1.0606319904327393,1456,23842.000448,1254,-1487.000064,-171,HES
2013-12-31,2721.999872,2260.999872,592,519,911,1658.550016,1658.550016,4.936252117156982,1306,24783.999488,1550,1390,-1447.000064,HES
2014-03-31,2672.999936,2279.9999360000006,771,705,364,395,430,1.3345880508422852,1496.999936,24241.999488,1158,-262,-1422,HES
2014-06-30,2828.999936,2407.999936,429,319,974,254.8,253.8,0.8070999979972839,1214,24353.999424,903,240,-226,HES
2014-09-30,2678.000128,2255.000128,613,480,359,265.6,265.6,0.8708199858665466,1451.000064,24365.000192,1322,1584.999936,-992,HES
2014-12-31,2556.999936,1496.999936,291,180,-5,47.05,47.05,0.16356399655342102,1166,22319.999936,1050,-1531.000064,-1195.000064,HES
2015-03-31,1538,1260,-458,-531,-376,-283,-283,-0.9982360005378723,498,21666.999296,436,-1226,-148,HES
2015-06-30,1952.999936,1596.999936,-199,-303,-553,-147,-147,-0.5170590281486511,829,21102.999552,714,-1188.999936,-100,HES
2015-09-30,1671.000064,778.000064,-473,-539,-239,-266,-266,-0.9399999976158142,515,22362.999808,282,-956,2756,HES
