date,Revenue,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company,target_revenue,target_income
2018-09-30,481.257984,76.986,37.537,66.223,21.56594,21.56594,3644.082912,229.984992,-96.969,-133.196,OAS,548.24,28.377
2018-12-31,548.24,28.377,-13.117,226.866,-14.082147,-14.082147,3918.879872,234.42,-359.832992,130.711,OAS,589.177984,67.441
2019-03-31,589.177984,67.441,22.927,-107.978,-12.225294,-12.225294,3811.135072,174.926,-224.002,42.328,OAS,519.588,62.055
2019-06-30,519.588,62.055,19.148,51.174,14.573239,14.573239,3866.457904,214.006,-303.651008,94.461,OAS,475.62,22.07
2019-09-30,475.62,22.07,-21.354,30.311,-34.145008,-34.145008,3899.660896,250.962,-143.163008,-108.632,OAS,492.209984,42.805
2019-12-31,492.209984,42.805,-2.133,-64.154,-10.895823,-10.895823,3837.080992,252.959008,-157.94,-94.425,OAS,392.817984,-71.204
2020-03-31,392.817984,-71.204,-166.898,-4334.275072,-353.647488,-353.647488,-499.171936,107.775,-130.768,136.976,OAS,305.400992,131.191
2011-03-31,1818.0,349.0,376.0,-361.0,309.0,309.0,16915.000064,657.0,-1268.999936,121.0,OVV,1959.000064,560.0
2011-06-30,1959.000064,560.0,481.0,383.0,365.0,365.0,16990.000128,980.0,-1248.999936,277.0,OVV,1952.999936,619.0
2011-09-30,1952.999936,619.0,107.0,459.0,186.0,186.0,16578.999808,1284.999936,-1303.000064,157.0,OVV,1883.000064,486.0
